2026-04-07 09:36:11 | Precio A: 99.60 | Precio B: 101.38 | Diferencia: 1.78
2026-04-07 09:36:12 | Precio A: 100.78 | Precio B: 99.44 | Diferencia: -1.34
2026-04-07 09:36:13 | Precio A: 99.10 | Precio B: 100.15 | Diferencia: 1.05
2026-04-07 09:36:14 | Precio A: 99.95 | Precio B: 101.19 | Diferencia: 1.24
2026-04-07 09:36:16 | Precio A: 99.64 | Precio B: 100.76 | Diferencia: 1.12
2026-04-07 09:36:17 | Precio A: 100.09 | Precio B: 99.71 | Diferencia: -0.38
2026-04-07 09:36:19 | Precio A: 100.25 | Precio B: 99.76 | Diferencia: -0.48
2026-04-07 09:36:20 | Precio A: 100.91 | Precio B: 100.40 | Diferencia: -0.50
2026-04-07 09:36:21 | Precio A: 99.65 | Precio B: 101.27 | Diferencia: 1.61
2026-04-07 09:36:23 | Precio A: 99.61 | Precio B: 100.43 | Diferencia: 0.83
2026-04-07 09:36:24 | Precio A: 100.43 | Precio B: 101.40 | Diferencia: 0.97
2026-04-07 09:36:26 | Precio A: 100.27 | Precio B: 101.11 | Diferencia: 0.83
2026-04-07 09:36:28 | Precio A: 99.09 | Precio B: 100.23 | Diferencia: 1.14
2026-04-07 09:36:30 | Precio A: 99.59 | Precio B: 101.22 | Diferencia: 1.62
2026-04-07 09:36:32 | Precio A: 99.54 | Precio B: 101.23 | Diferencia: 1.69
2026-04-07 09:36:33 | Precio A: 99.29 | Precio B: 99.90 | Diferencia: 0.61
2026-04-07 09:36:34 | Precio A: 99.53 | Precio B: 101.37 | Diferencia: 1.85
2026-04-07 09:36:35 | Precio A: 100.10 | Precio B: 101.10 | Diferencia: 1.00
2026-04-07 09:36:36 | Precio A: 99.19 | Precio B: 100.28 | Diferencia: 1.09
2026-04-07 09:36:37 | Precio A: 100.09 | Precio B: 99.69 | Diferencia: -0.41
2026-04-07 09:36:38 | Precio A: 99.25 | Precio B: 100.51 | Diferencia: 1.26
2026-04-07 09:36:39 | Precio A: 99.45 | Precio B: 100.93 | Diferencia: 1.48
2026-04-07 09:36:40 | Precio A: 100.57 | Precio B: 100.00 | Diferencia: -0.57
2026-04-07 09:36:43 | Precio A: 99.19 | Precio B: 99.80 | Diferencia: 0.61
2026-04-07 09:36:44 | Precio A: 99.22 | Precio B: 101.29 | Diferencia: 2.07
2026-04-07 09:36:45 | Precio A: 99.17 | Precio B: 100.97 | Diferencia: 1.80
2026-04-07 09:36:47 | Precio A: 99.51 | Precio B: 101.37 | Diferencia: 1.86
2026-04-07 09:36:48 | Precio A: 100.97 | Precio B: 101.34 | Diferencia: 0.37
2026-04-07 09:36:49 | Precio A: 99.06 | Precio B: 100.05 | Diferencia: 0.99
2026-04-07 09:36:50 | Precio A: 100.99 | Precio B: 99.65 | Diferencia: -1.34
2026-04-07 09:36:51 | Precio A: 100.23 | Precio B: 99.60 | Diferencia: -0.62
2026-04-07 09:36:52 | Precio A: 99.10 | Precio B: 100.96 | Diferencia: 1.85
2026-04-07 09:36:53 | Precio A: 99.95 | Precio B: 100.68 | Diferencia: 0.72
